date,run_id,decision,target_layer,summary,source_artifact,status
2026-07-05,day-028,reflect,checklist / prompt rule / language rule / ai-factory rule,"Strengthen `tester` and `reviewer` instructions for heuristic checkers and parsers so they must try at least one adversarial minimal input that targets over-broad inheritance and one that targets false-positive classification, not only the documented happy path.",Runbook prerequisite gap checker,applied
2026-07-05,day-029,reflect,prompt rule / checklist / language rule / ai-factory rule,"Strengthen `builder`, `tester`, and `reviewer` guidance for reviewer-facing diff or migration tools: when evidence is derived from matched identifiers, preserve disambiguating context from analysis through final output, and do not allow the presentation layer to collapse distinct records into the same label.",Schema rename impact sketcher,applied
2026-07-05,day-030,reflect,checklist,"Strengthen `tester` and `reviewer` guidance for local review tools so they explicitly verify that any displayed score, severity, sort order, or summary metric is safe for the decision it claims to support. If a tool tells users what to fix first, the checks must confirm that ranking logic matches that goal.",Required field rationale annotator,applied
2026-07-05,day-031,reflect,checklist / language rule / ai-factory rule,"Strengthen `builder` and `tester` instructions for heuristic multi-source checkers so they must validate the claimed rule with a fixture, not only prove that the command launches and returns counts.",Config flag orphan checker,applied
2026-07-05,day-032,reflect,checklist / language rule / ai-factory rule,Strengthen `builder` and `tester` guidance for audit and checker-style tools so they treat malformed source data as a first-class failure case and explicitly verify that documented matcher behavior matches the real implementation.,Permission drift evidence mapper,applied
2026-07-05,day-033,reflect,checklist / prompt rule / ai-factory rule,"Strengthen `reviewer` instructions for parser, checker, and spec-driven tools so the review must probe at least two realistic non-happy-path input shapes that are common in the target format, even when the bundled sample passes.",API error example coverage grader,applied
2026-07-06,day-022,reflect,checklist / prompt rule / language rule,"review the primary interactive path for stable selectors, descriptive actions, and structured field names before treating a browser tool as agent-ready",WebMCP readiness sketchpad,applied
2026-07-07,day-036,reflect,"checklist, language rule, ai-factory rule","Strengthen `reviewer` and `improver` guidance for heuristic tools so they must challenge confident labels such as `supported`, `safe`, or `complete` with at least one adversarial counterexample, not just confirm happy-path counts.",Note evidence gap checker,applied
2026-07-05,day-020,hold,checklist / language rule / ai-factory rule,contradiction 系では true conflict sample と no-conflict transition sample を対で持つ運用を保留観察する,Incident note contradiction finder,holding
2026-07-05,day-034,reflect,checklist / prompt rule,"builder` should treat ""this tool inspects another CLI's `--help`/`--version` output"" as a trigger to make its own `-h`/`--help` follow the conventional stdout + exit-0 contract, since a checker-of-CLIs artifact is the one class of tool guaranteed to eventually be pointed at itself.",CLI help drift checker,applied
2026-07-06,day-035,reflect,checklist / prompt rule,"For any artifact whose classification/flagging logic has more than one detection path that can independently produce the same output label (here: an explicit polarity/number rule match vs. a generic lexical-overlap fallback), `builder` must design the UI to visually distinguish ""confirmed by a specific rule"" from ""flagged by generic fallback only,"" and `reviewer`/`uiux` must explicitly check for that distinction rather than stopping at ""is some reason text shown at all.""",FAQ drift viewer,applied
2026-07-07,day-037,reflect,checklist / language rule (CSS) / ai-factory rule (test rule),"uiux` must explicitly test a browser artifact in both the default color scheme and a forced OS/browser dark color scheme before signing off on visual quality, since a `prefers-color-scheme` block existing in the CSS is not evidence it was actually exercised. Separately, `reviewer` and `tester` must add ""change a control after a result/report is already rendered"" (e.g. flip a dropdown, retoggle a filter, without clearing state first) as a standard non-linear regression probe for any stateful UI, not only the linear load -> analyze -> read path.",Handoff completeness board,applied
2026-07-09,day-039,reflect,checklist / language rule / ai-factory rule,判定ロジックの危険ケース検知を優先レビューすること、そして callable logic を UI 外へ分離することを正式ルール候補として持ち帰る,Plan boundary verifier,applied
2026-07-10,day-040,reflect,builder-checklist / uiux-checklist / reviewer-checklist / local run policy,"**Builder**: add a rule that when a logic module returns a `breakdown`, `reasoning`, or `explanation` object alongside a verdict, that object must include all data the UI needs to render a human-readable explanation — including multipliers and weights, not just raw dimension values. Storing raw values without weights shifts the rendering burden to the UI and requires the UI to couple to internal logic constants. This is a data-contract failure, not a UI omission.",Shadow AI Intake Triage Board,applied
2026-07-11,day-041,reflect,checklist,Agent-facing tools need explicit checks for structured recoverable error contracts and visible re-evaluation feedback.,MCP Error Contract Triage Board,applied
2026-07-12,day-042,reflect,checklist,"For governance/intake tools, require recommendations to include missing facts, confidence, and next actions rather than a single verdict.",Shadow AI request triage board,applied
2026-07-13,day-043,reflect,"checklist (builder, uiux, reviewer), role instruction (builder)","**builder** — add to builder instructions: ""Every artifact directory must contain a `README.md` that covers (1) how to open or run the artifact, (2) what any score/grade scale means, and (3) a one-liner showing how to call the logic layer from outside the browser if one exists. This README is a deliverable, not optional documentation.""",MCP Failure Contract Reviewer,applied
2026-07-14,day-044,reflect,checklist（uiux-checklist / builder-checklist / reviewer-checklist）,uiux ロールの観点に「空入力・無効入力での silent return は UI として成立しない」を明示的に追加する。builder ロールも「入力バリデーション時のフィードバック有無」を build checklist で確認する責務を持つ。,Browser Quality Signal Board,applied
2026-07-15,day-045,reflect,"checklist（uiux-checklist, reviewer-checklist）+ builder developer_instructions",it-builder` の developer_instructions に「empty state は到達経路ごとにメッセージを分けること（未入力 / 検出ゼロ / 既知非対応形式は distinct）」を追加する。,Callable Logic Boundary Inspector,applied
2026-07-19,day-003,reflect,"checklist (builder README requirement), role developer_instructions (builder stdin portability note + tester branch coverage rule)","Update `it-builder.toml` developer_instructions to add: (1) README.md is a required output alongside `main_files` — not optional, not implied by `--help`; (2) when a CLI tool reads from stdin as its no-argument fallback, the `--help` text must say so and note any platform portability limits (e.g. `/dev/stdin` is not available on Windows). Update `it-tester.toml` developer_instructions to add: when the artifact contains a named dispatch structure (switch, role map, branch set), every named branch must be covered by a runnable example file — ""code-traced only"" must be flagged as PARTIAL in unverified_areas, not as silent coverage.",handoff-gap-detector,applied
